Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1854513,2015-12-26,2015-12-26,,"Blancanieves","Blancanieves",https://www.imdb.com/title/tt1854513/,Movie,7.5,104,2012,"Drama, Fantasy",11787,2012-09-28,"Pablo Berger"
2,tt1391140,2015-12-26,2015-12-26,,"Aufschneider","Aufschneider",https://www.imdb.com/title/tt1391140/,TV Mini Series,8.0,90,2010,"Comedy",1605,2010-04-13,
3,tt1226273,2015-12-26,2015-12-26,,"Edge of Darkness","Edge of Darkness",https://www.imdb.com/title/tt1226273/,Movie,6.6,117,2010,"Action, Adventure, Drama, Mystery, Thriller",100479,2010-01-29,"Martin Campbell"
4,tt0489010,2015-12-26,2015-12-26,,"A Crime","A Crime",https://www.imdb.com/title/tt0489010/,Movie,5.6,103,2006,"Crime, Thriller",2155,2006-10-11,"Manuel Pradal"
5,tt0116095,2015-12-26,2015-12-26,,"Diabolique","Diabolique",https://www.imdb.com/title/tt0116095/,Movie,5.5,107,1996,"Drama, Horror, Mystery, Thriller",15715,1996-03-22,"Jeremiah S. Chechik"
6,tt1232776,2015-12-26,2015-12-26,,"Fish Tank","Fish Tank",https://www.imdb.com/title/tt1232776/,Movie,7.3,123,2009,"Drama",65914,2009-09-11,"Andrea Arnold"
7,tt0342735,2015-12-26,2015-12-26,,"Manderlay","Manderlay",https://www.imdb.com/title/tt0342735/,Movie,7.2,139,2005,"Drama",25544,2005-06-03,"Lars von Trier"
8,tt0929632,2015-12-26,2015-12-26,,"Precious","Precious",https://www.imdb.com/title/tt0929632/,Movie,7.3,110,2009,"Drama",117488,2009-11-20,"Lee Daniels"
9,tt1177067,2015-12-26,2015-12-26,,"12 heißt: Ich liebe dich","12 heißt: Ich liebe dich",https://www.imdb.com/title/tt1177067/,TV Movie,6.6,90,2007,"Biography, Drama",152,2008-04-16,"Connie Walter"
10,tt0095497,2015-12-26,2015-12-26,,"The Last Temptation of Christ","The Last Temptation of Christ",https://www.imdb.com/title/tt0095497/,Movie,7.5,164,1988,"Drama",64406,1988-08-12,"Martin Scorsese"
11,tt4173314,2015-12-26,2015-12-26,,"Palace Beach Hotel","Palace Beach Hotel",https://www.imdb.com/title/tt4173314/,TV Movie,6.5,91,2014,"Drama",88,2014-11-14,"Philippe Venault"
12,tt0075675,2015-12-26,2015-12-26,,"The American Friend","Der amerikanische Freund",https://www.imdb.com/title/tt0075675/,Movie,7.4,128,1977,"Crime, Drama, Mystery, Thriller",19423,1977-09-28,"Wim Wenders"
13,tt2113148,2015-12-26,2015-12-26,,"Arne Dahl: Misterioso","Arne Dahl: Misterioso",https://www.imdb.com/title/tt2113148/,TV Mini Series,6.8,178,2011,"Crime, Drama, Mystery",1819,2011-12-27,
14,tt0844457,2015-12-26,2015-12-26,,"North Face","Nordwand",https://www.imdb.com/title/tt0844457/,Movie,7.4,126,2008,"Adventure, Biography, Drama, History, Sport",16606,2008-10-23,"Philipp Stölzl"
15,tt4229704,2015-12-26,2015-12-26,,"Das Zeugenhaus","Das Zeugenhaus",https://www.imdb.com/title/tt4229704/,TV Movie,6.9,105,2014,"Drama, History",304,2014-11-24,"Matti Geschonneck"
